Id,Дата визита,Пол,UTM Term,Возраст,Визиты,Посетители,Глубина просмотра,Среднее время на сайте_сек,Средний доход покупки_RUB,Добавили в корзину,Количество покупок,Новые посетители, , , , , , , , , , , 
227,2023-11-23,мужской,social,45-54 года,34,32,2.71,95.00,125370.00,0.00,1.00,18.00,,,,,,,,,,,
228,2023-11-27,мужской,social,18‑24 года,34,33,2.71,90.00,23890.00,2.00,1.00,15.00,,,,,,,,,,,
229,2023-11-04,,search,,33,32,1.79,111.00,0.00,0.00,0.00,26.00,,,,,,,,,,,
230,2023-11-16,женский,social,35‑44 года,33,30,3.06,200.00,3935.00,5.00,2.00,15.00,,,,,,,,,,,
231,2023-11-19,женский,social,25‑34 года,33,28,3.67,198.00,60580.00,2.00,1.00,20.00,,,,,,,,,,,
232,2023-11-19,женский,social,35‑44 года,33,29,2.39,125.00,0.00,1.00,0.00,25.00,,,,,,,,,,,
233,2023-11-21,мужской,search,35‑44 года,33,32,2.55,98.00,0.00,1.00,0.00,21.00,,,,,,,,,,,
234,2023-11-04,мужской,social,55 лет и старше,32,29,2.13,68.00,0.00,2.00,0.00,16.00,,,,,,,,,,,
235,2023-11-12,женский,social,35‑44 года,32,29,2.47,130.00,0.00,4.00,0.00,16.00,,,,,,,,,,,
236,2023-11-17,мужской,search,35‑44 года,32,30,1.66,55.00,0.00,1.00,0.00,23.00,,,,,,,,,,,
237,2023-11-28,женский,social,25‑34 года,32,32,2.50,80.00,68370.00,2.00,1.00,21.00,,,,,,,,,,,
238,2023-11-30,женский,social,25‑34 года,32,27,3.09,129.00,66480.00,3.00,1.00,15.00,,,,,,,,,,,
239,2023-11-06,женский,social,18‑24 года,31,29,2.13,80.00,0.00,1.00,0.00,16.00,,,,,,,,,,,
240,2023-11-09,мужской,media,55 лет и старше,31,30,2.16,88.00,0.00,0.00,0.00,27.00,,,,,,,,,,,
241,2023-11-25,,search,,31,26,2.32,142.00,57355.00,2.00,2.00,22.00,,,,,,,,,,,
242,2023-11-26,женский,social,25‑34 года,31,29,1.97,123.00,30320.00,2.00,1.00,18.00,,,,,,,,,,,
243,2023-11-28,,search,,31,31,1.71,70.00,0.00,1.00,0.00,31.00,,,,,,,,,,,
244,2023-11-04,женский,social,18‑24 года,30,28,3.57,117.00,0.00,0.00,0.00,14.00,,,,,,,,,,,
245,2023-11-11,мужской,media,55 лет и старше,30,28,2.27,84.00,0.00,0.00,0.00,26.00,,,,,,,,,,,
246,2023-11-12,мужской,social,55 лет и старше,30,27,1.90,38.00,0.00,0.00,0.00,15.00,,,,,,,,,,,
247,2023-11-13,,search,,30,28,1.50,96.00,9970.00,3.00,1.00,27.00,,,,,,,,,,,
248,2023-11-17,женский,social,35‑44 года,30,28,2.27,159.00,21370.00,4.00,1.00,15.00,,,,,,,,,,,
249,2023-11-18,женский,social,25‑34 года,30,29,3.77,181.00,0.00,3.00,0.00,20.00,,,,,,,,,,,
250,2023-11-30,мужской,social,18‑24 года,30,27,3.57,178.00,0.00,0.00,0.00,12.00,,,,,,,,,,,
251,2023-11-01,женский,social,18‑24 года,29,25,5.66,228.00,4480.00,1.00,1.00,12.00,,,,,,,,,,,
252,2023-11-11,женский,social,25‑34 года,29,25,4.00,233.00,0.00,2.00,0.00,10.00,,,,,,,,,,,
253,2023-11-12,,search,,29,29,1.93,88.00,0.00,2.00,0.00,26.00,,,,,,,,,,,
254,2023-11-25,женский,social,25‑34 года,29,23,2.86,93.00,0.00,1.00,0.00,14.00,,,,,,,,,,,
255,2023-11-25,женский,social,35‑44 года,29,23,2.76,166.00,41270.00,2.00,2.00,16.00,,,,,,,,,,,
256,2023-11-04,женский,social,35‑44 года,28,27,2.00,65.00,7060.00,1.00,1.00,23.00,,,,,,,,,,,
257,2023-11-09,женский,social,55 лет и старше,28,26,1.71,115.00,0.00,1.00,0.00,21.00,,,,,,,,,,,
258,2023-11-12,мужской,media,55 лет и старше,28,27,3.14,107.00,0.00,0.00,0.00,26.00,,,,,,,,,,,
259,2023-11-15,женский,social,35‑44 года,28,27,4.36,183.00,0.00,2.00,0.00,17.00,,,,,,,,,,,
260,2023-11-17,мужской,search,25‑34 года,28,27,2.18,233.00,48865.00,2.00,2.00,19.00,,,,,,,,,,,
261,2023-11-21,мужской,search,45-54 года,28,25,2.46,114.00,35370.00,2.00,1.00,17.00,,,,,,,,,,,
262,2023-11-26,мужской,social,55 лет и старше,28,26,2.39,115.00,0.00,1.00,0.00,21.00,,,,,,,,,,,
263,2023-11-27,женский,social,25‑34 года,28,24,3.61,70.00,0.00,2.00,0.00,15.00,,,,,,,,,,,
264,2023-11-29,женский,social,45-54 года,28,22,4.93,219.00,0.00,1.00,0.00,12.00,,,,,,,,,,,
265,2023-11-14,мужской,social,55 лет и старше,27,24,5.63,406.00,34980.00,2.00,1.00,10.00,,,,,,,,,,,
266,2023-11-14,женский,social,25‑34 года,27,26,2.82,102.00,0.00,2.00,0.00,21.00,,,,,,,,,,,
267,2023-11-18,мужской,search,25‑34 года,27,24,1.82,86.00,0.00,1.00,0.00,19.00,,,,,,,,,,,
268,2023-11-19,женский,social,45-54 года,27,17,5.37,272.00,0.00,6.00,0.00,10.00,,,,,,,,,,,
269,2023-11-23,мужской,search,25‑34 года,27,26,1.48,73.00,0.00,0.00,0.00,16.00,,,,,,,,,,,
270,2023-11-23,мужской,search,35‑44 года,27,26,2.07,60.00,0.00,0.00,0.00,18.00,,,,,,,,,,,
271,2023-11-24,женский,social,35‑44 года,27,25,2.52,98.00,0.00,3.00,0.00,18.00,,,,,,,,,,,
272,2023-11-26,женский,social,45-54 года,27,23,2.41,85.00,0.00,0.00,0.00,13.00,,,,,,,,,,,
273,2023-11-27,,search,,27,26,1.52,46.00,0.00,0.00,0.00,26.00,,,,,,,,,,,
274,2023-11-29,женский,social,35‑44 года,27,25,3.00,131.00,0.00,3.00,0.00,18.00,,,,,,,,,,,
275,2023-11-03,женский,social,55 лет и старше,26,23,2.23,88.00,43230.00,1.00,1.00,17.00,,,,,,,,,,,
276,2023-11-10,женский,social,45-54 года,26,25,3.54,113.00,0.00,2.00,0.00,15.00,,,,,,,,,,,
277,2023-11-13,,media,,26,26,2.46,109.00,0.00,0.00,0.00,24.00,,,,,,,,,,,
278,2023-11-14,женский,social,18‑24 года,26,26,5.89,224.00,0.00,0.00,0.00,13.00,,,,,,,,,,,
279,2023-11-19,женский,social,18‑24 года,26,23,4.00,257.00,96180.00,2.00,2.00,16.00,,,,,,,,,,,
280,2023-11-22,женский,social,25‑34 года,26,21,3.42,239.00,108480.00,1.00,1.00,9.00,,,,,,,,,,,
281,2023-11-24,мужской,social,55 лет и старше,26,25,2.89,233.00,0.00,1.00,0.00,18.00,,,,,,,,,,,
282,2023-11-04,женский,social,45-54 года,25,22,3.12,236.00,0.00,1.00,0.00,16.00,,,,,,,,,,,
283,2023-11-11,женский,social,18‑24 года,25,25,4.40,303.00,64380.00,3.00,1.00,13.00,,,,,,,,,,,
284,2023-11-15,женский,social,25‑34 года,25,22,3.40,227.00,11380.00,2.00,1.00,12.00,,,,,,,,,,,
285,2023-11-16,женский,social,45-54 года,25,22,1.24,30.00,0.00,0.00,0.00,17.00,,,,,,,,,,,
286,2023-11-19,мужской,search,35‑44 года,25,22,2.64,74.00,79870.00,1.00,1.00,18.00,,,,,,,,,,,
287,2023-11-24,мужской,search,45-54 года,25,22,1.92,140.00,0.00,0.00,0.00,15.00,,,,,,,,,,,
288,2023-11-06,,search,,24,22,2.17,87.00,2770.00,1.00,1.00,20.00,,,,,,,,,,,
289,2023-11-07,,search,,24,21,2.08,65.00,29430.00,1.00,1.00,17.00,,,,,,,,,,,
290,2023-11-07,женский,social,55 лет и старше,24,17,1.83,212.00,0.00,0.00,0.00,15.00,,,,,,,,,,,
291,2023-11-08,мужской,media,55 лет и старше,24,24,1.46,51.00,0.00,0.00,0.00,21.00,,,,,,,,,,,
292,2023-11-11,,media,,24,23,1.67,63.00,0.00,0.00,0.00,23.00,,,,,,,,,,,
293,2023-11-11,мужской,social,55 лет и старше,24,20,3.00,232.00,0.00,0.00,0.00,13.00,,,,,,,,,,,
294,2023-11-11,женский,social,45-54 года,24,22,3.54,165.00,0.00,0.00,0.00,16.00,,,,,,,,,,,
295,2023-11-13,мужской,media,55 лет и старше,24,24,3.21,97.00,0.00,0.00,0.00,19.00,,,,,,,,,,,
296,2023-11-19,мужской,social,55 лет и старше,24,21,4.29,431.00,3490.00,4.00,1.00,13.00,,,,,,,,,,,
297,2023-11-20,мужской,social,55 лет и старше,24,24,3.33,156.00,27190.00,1.00,1.00,10.00,,,,,,,,,,,
298,2023-11-22,мужской,social,18‑24 года,24,22,2.83,94.00,0.00,2.00,0.00,8.00,,,,,,,,,,,
299,2023-11-24,женский,social,18‑24 года,24,22,4.33,161.00,57780.00,3.00,1.00,12.00,,,,,,,,,,,
300,2023-11-27,мужской,social,55 лет и старше,24,22,2.08,154.00,68980.00,2.00,1.00,14.00,,,,,,,,,,,
301,2023-11-27,женский,social,18‑24 года,24,22,3.96,226.00,57460.00,3.00,1.00,8.00,,,,,,,,,,,
302,2023-11-29,женский,social,18‑24 года,24,22,5.46,321.00,0.00,1.00,0.00,14.00,,,,,,,,,,,
303,2023-11-05,женский,social,55 лет и старше,23,21,1.57,39.00,0.00,0.00,0.00,17.00,,,,,,,,,,,
304,2023-11-09,женский,media,55 лет и старше,23,22,1.04,52.00,0.00,0.00,0.00,20.00,,,,,,,,,,,
305,2023-11-15,мужской,search,25‑34 года,23,23,2.65,172.00,25646.67,3.00,3.00,14.00,,,,,,,,,,,
306,2023-11-20,мужской,search,25‑34 года,23,22,2.87,161.00,0.00,1.00,0.00,15.00,,,,,,,,,,,
307,2023-11-21,женский,social,35‑44 года,23,22,3.83,155.00,0.00,2.00,0.00,11.00,,,,,,,,,,,
308,2023-11-22,мужской,social,45-54 года,23,20,3.57,177.00,0.00,1.00,0.00,12.00,,,,,,,,,,,
309,2023-11-24,мужской,search,25‑34 года,23,23,2.04,49.00,0.00,0.00,0.00,16.00,,,,,,,,,,,
310,2023-11-30,мужской,social,55 лет и старше,23,19,1.44,131.00,0.00,0.00,0.00,14.00,,,,,,,,,,,
311,2023-11-10,мужской,search,25‑34 года,22,18,1.82,47.00,15220.00,2.00,2.00,14.00,,,,,,,,,,,
312,2023-11-15,мужской,social,55 лет и старше,22,19,2.00,118.00,0.00,0.00,0.00,11.00,,,,,,,,,,,
313,2023-11-17,мужской,social,55 лет и старше,22,21,3.46,211.00,0.00,1.00,0.00,11.00,,,,,,,,,,,
314,2023-11-18,женский,social,35‑44 года,22,19,2.09,46.00,0.00,1.00,0.00,13.00,,,,,,,,,,,
315,2023-11-19,мужской,search,45-54 года,22,21,2.86,169.00,0.00,0.00,0.00,18.00,,,,,,,,,,,
316,2023-11-20,женский,social,35‑44 года,22,17,3.46,242.00,78170.00,4.00,1.00,7.00,,,,,,,,,,,
317,2023-11-22,,search,,22,21,2.59,51.00,0.00,2.00,0.00,18.00,,,,,,,,,,,
318,2023-11-22,мужской,search,35‑44 года,22,21,1.36,22.00,0.00,0.00,0.00,16.00,,,,,,,,,,,
319,2023-11-25,женский,social,18‑24 года,22,17,2.96,266.00,0.00,2.00,0.00,10.00,,,,,,,,,,,
320,2023-11-30,,search,,22,21,2.23,113.00,0.00,1.00,0.00,17.00,,,,,,,,,,,
321,2023-11-10,женский,social,18‑24 года,21,21,2.19,70.00,0.00,1.00,0.00,15.00,,,,,,,,,,,
322,2023-11-14,женский,social,35‑44 года,21,20,4.00,176.00,0.00,2.00,0.00,14.00,,,,,,,,,,,
323,2023-11-16,женский,social,18‑24 года,21,20,2.33,113.00,0.00,1.00,0.00,13.00,,,,,,,,,,,
324,2023-11-21,мужской,social,55 лет и старше,21,17,2.05,139.00,1080.00,2.00,1.00,13.00,,,,,,,,,,,
325,2023-11-24,мужской,search,35‑44 года,21,20,1.19,28.00,0.00,0.00,0.00,17.00,,,,,,,,,,,
326,2023-11-25,мужской,social,55 лет и старше,21,21,2.43,212.00,0.00,1.00,0.00,16.00,,,,,,,,,,,
327,2023-11-26,мужской,search,25‑34 года,21,21,1.81,57.00,0.00,0.00,0.00,15.00,,,,,,,,,,,
328,2023-11-26,женский,social,18‑24 года,21,21,1.91,72.00,0.00,0.00,0.00,16.00,,,,,,,,,,,
329,2023-11-28,женский,social,18‑24 года,21,19,1.43,62.00,0.00,1.00,0.00,13.00,,,,,,,,,,,
330,2023-11-01,женский,social,55 лет и старше,20,19,1.45,130.00,0.00,0.00,0.00,12.00,,,,,,,,,,,
331,2023-11-08,мужской,din,35‑44 года,20,18,1.95,64.00,0.00,1.00,0.00,5.00,,,,,,,,,,,
332,2023-11-08,мужской,din,55 лет и старше,20,18,1.35,101.00,0.00,1.00,0.00,6.00,,,,,,,,,,,
333,2023-11-08,женский,media,25‑34 года,20,19,1.00,26.00,0.00,0.00,0.00,17.00,,,,,,,,,,,
334,2023-11-08,женский,media,35‑44 года,20,18,1.15,31.00,0.00,0.00,0.00,16.00,,,,,,,,,,,
335,2023-11-12,женский,social,18‑24 года,20,18,4.65,197.00,0.00,2.00,0.00,12.00,,,,,,,,,,,
336,2023-11-13,мужской,search,25‑34 года,20,18,4.15,600.00,14780.00,1.00,1.00,12.00,,,,,,,,,,,
337,2023-11-13,женский,social,18‑24 года,20,17,3.20,66.00,0.00,2.00,0.00,11.00,,,,,,,,,,,
338,2023-11-18,мужской,social,55 лет и старше,20,17,1.70,43.00,0.00,1.00,0.00,13.00,,,,,,,,,,,
339,2023-11-19,женский,search,25‑34 года,20,18,1.10,17.00,0.00,0.00,0.00,16.00,,,,,,,,,,,
340,2023-11-20,мужской,search,45-54 года,20,19,1.65,71.00,71870.00,1.00,1.00,14.00,,,,,,,,,,,
341,2023-11-22,мужской,search,25‑34 года,20,16,1.25,68.00,0.00,1.00,0.00,13.00,,,,,,,,,,,
342,2023-11-22,женский,social,35‑44 года,20,17,5.20,425.00,0.00,2.00,0.00,11.00,,,,,,,,,,,
343,2023-11-23,мужской,social,55 лет и старше,20,20,3.90,250.00,0.00,0.00,0.00,9.00,,,,,,,,,,,
344,2023-11-25,женский,social,45-54 года,20,18,3.45,178.00,18370.00,5.00,1.00,12.00,,,,,,,,,,,
345,2023-11-26,мужской,search,35‑44 года,20,19,1.30,24.00,0.00,0.00,0.00,18.00,,,,,,,,,,,
346,2023-11-08,мужской,search,25‑34 года,19,17,8.21,1294.00,0.00,0.00,0.00,11.00,,,,,,,,,,,
347,2023-11-16,мужской,search,25‑34 года,19,17,1.68,171.00,0.00,0.00,0.00,11.00,,,,,,,,,,,
348,2023-11-16,мужской,search,35‑44 года,19,18,2.90,155.00,0.00,1.00,0.00,9.00,,,,,,,,,,,
349,2023-11-23,женский,social,35‑44 года,19,18,2.58,149.00,33980.00,3.00,1.00,11.00,,,,,,,,,,,
350,2023-11-26,мужской,search,45-54 года,19,18,1.37,42.00,0.00,1.00,0.00,15.00,,,,,,,,,,,
351,2023-11-30,женский,social,35‑44 года,19,18,3.32,181.00,24450.00,1.00,1.00,12.00,,,,,,,,,,,
352,2023-11-08,,din,,18,15,1.83,48.00,0.00,0.00,0.00,12.00,,,,,,,,,,,
353,2023-11-13,мужской,search,35‑44 года,18,15,1.67,62.00,0.00,1.00,0.00,12.00,,,,,,,,,,,
354,2023-11-13,женский,social,35‑44 года,18,17,4.17,195.00,16270.00,1.00,1.00,10.00,,,,,,,,,,,
355,2023-11-17,женский,social,45-54 года,18,16,1.72,139.00,0.00,0.00,0.00,10.00,,,,,,,,,,,
356,2023-11-18,женский,social,45-54 года,18,14,2.06,53.00,0.00,2.00,0.00,9.00,,,,,,,,,,,
357,2023-11-21,мужской,search,25‑34 года,18,17,1.61,47.00,0.00,1.00,0.00,11.00,,,,,,,,,,,
358,2023-11-21,женский,social,18‑24 года,18,18,3.44,132.00,0.00,1.00,0.00,13.00,,,,,,,,,,,
359,2023-11-04,женский,social,55 лет и старше,17,14,3.88,314.00,117360.00,1.00,1.00,10.00,,,,,,,,,,,
360,2023-11-09,мужской,search,35‑44 года,17,16,3.47,83.00,0.00,1.00,0.00,9.00,,,,,,,,,,,
361,2023-11-11,мужской,search,25‑34 года,17,15,1.94,104.00,0.00,0.00,0.00,11.00,,,,,,,,,,,
362,2023-11-12,женский,social,45-54 года,17,17,2.29,299.00,0.00,2.00,0.00,12.00,,,,,,,,,,,
363,2023-11-13,женский,media,55 лет и старше,17,17,2.12,239.00,0.00,0.00,0.00,16.00,,,,,,,,,,,
364,2023-11-15,женский,social,18‑24 года,17,17,3.35,225.00,0.00,1.00,0.00,8.00,,,,,,,,,,,
365,2023-11-18,женский,search,35‑44 года,17,15,2.59,89.00,0.00,0.00,0.00,11.00,,,,,,,,,,,
366,2023-11-20,мужской,search,35‑44 года,17,17,1.59,82.00,0.00,0.00,0.00,15.00,,,,,,,,,,,
367,2023-11-20,женский,social,18‑24 года,17,17,4.18,217.00,0.00,2.00,0.00,9.00,,,,,,,,,,,
368,2023-11-20,женский,social,45-54 года,17,15,2.82,102.00,0.00,1.00,0.00,9.00,,,,,,,,,,,
369,2023-11-23,женский,social,45-54 года,17,13,2.59,110.00,0.00,0.00,0.00,10.00,,,,,,,,,,,
370,2023-11-24,женский,social,45-54 года,17,15,3.41,136.00,110585.00,3.00,2.00,10.00,,,,,,,,,,,
371,2023-11-29,,search,,17,15,2.47,219.00,0.00,2.00,0.00,12.00,,,,,,,,,,,
372,2023-11-08,мужской,din,25‑34 года,16,10,2.00,13.00,0.00,0.00,0.00,5.00,,,,,,,,,,,
373,2023-11-08,женский,din,35‑44 года,16,12,1.00,15.00,0.00,0.00,0.00,2.00,,,,,,,,,,,
374,2023-11-11,мужской,search,35‑44 года,16,14,1.25,13.00,0.00,0.00,0.00,11.00,,,,,,,,,,,
375,2023-11-11,женский,media,25‑34 года,16,12,1.38,184.00,0.00,0.00,0.00,12.00,,,,,,,,,,,
376,2023-11-13,женский,social,45-54 года,16,14,2.94,93.00,0.00,1.00,0.00,6.00,,,,,,,,,,,
377,2023-11-15,женский,social,45-54 года,16,15,2.00,60.00,0.00,3.00,0.00,13.00,,,,,,,,,,,
378,2023-11-17,мужской,search,45-54 года,16,12,1.31,114.00,0.00,0.00,0.00,10.00,,,,,,,,,,,
379,2023-11-18,женский,social,18‑24 года,16,14,3.00,91.00,0.00,0.00,0.00,6.00,,,,,,,,,,,
380,2023-11-30,женский,social,55 лет и старше,16,15,2.13,126.00,8720.00,2.00,1.00,12.00,,,,,,,,,,,
381,2023-11-13,мужской,media,45-54 года,15,15,2.93,69.00,0.00,0.00,0.00,11.00,,,,,,,,,,,
382,2023-11-14,мужской,search,35‑44 года,15,13,2.80,168.00,0.00,0.00,0.00,6.00,,,,,,,,,,,
383,2023-11-18,мужской,search,35‑44 года,15,14,1.53,61.00,0.00,1.00,0.00,10.00,,,,,,,,,,,
384,2023-11-19,мужской,search,18‑24 года,15,14,1.87,110.00,0.00,1.00,0.00,12.00,,,,,,,,,,,
385,2023-11-19,женский,search,35‑44 года,15,13,1.33,62.00,0.00,0.00,0.00,11.00,,,,,,,,,,,
386,2023-11-22,женский,social,18‑24 года,15,12,3.67,53.00,0.00,0.00,0.00,5.00,,,,,,,,,,,
387,2023-11-24,женский,social,55 лет и старше,15,15,2.60,172.00,0.00,1.00,0.00,14.00,,,,,,,,,,,
388,2023-11-25,мужской,search,35‑44 года,15,13,1.40,52.00,0.00,0.00,0.00,10.00,,,,,,,,,,,
389,2023-11-27,женский,social,45-54 года,15,14,2.33,51.00,0.00,0.00,0.00,10.00,,,,,,,,,,,
390,2023-11-30,женский,social,45-54 года,15,15,1.80,103.00,0.00,1.00,0.00,11.00,,,,,,,,,,,
391,2023-11-07,мужской,din,35‑44 года,14,12,1.93,42.00,0.00,0.00,0.00,2.00,,,,,,,,,,,
392,2023-11-08,женский,din,45-54 года,14,12,1.93,201.00,0.00,0.00,0.00,2.00,,,,,,,,,,,
393,2023-11-09,,media,,14,12,1.07,30.00,0.00,0.00,0.00,11.00,,,,,,,,,,,
394,2023-11-12,мужской,media,45-54 года,14,13,3.71,80.00,0.00,0.00,0.00,9.00,,,,,,,,,,,
395,2023-11-18,мужской,search,45-54 года,14,13,2.57,171.00,106220.00,0.00,1.00,10.00,,,,,,,,,,,
396,2023-11-24,мужской,search,55 лет и старше,14,11,1.36,28.00,0.00,0.00,0.00,9.00,,,,,,,,,,,
397,2023-11-24,женский,search,25‑34 года,14,13,2.07,55.00,61370.00,1.00,1.00,11.00,,,,,,,,,,,
398,2023-11-27,мужской,search,25‑34 года,14,14,1.57,24.00,0.00,0.00,0.00,8.00,,,,,,,,,,,
399,2023-11-30,женский,social,18‑24 года,14,12,3.29,148.00,0.00,0.00,0.00,6.00,,,,,,,,,,,
400,2023-11-01,,media,,13,12,1.85,54.00,0.00,0.00,0.00,11.00,,,,,,,,,,,
401,2023-11-03,,search,,13,12,1.46,147.00,0.00,0.00,0.00,11.00,,,,,,,,,,,
402,2023-11-05,,search,,13,12,1.00,9.00,0.00,0.00,0.00,10.00,,,,,,,,,,,
403,2023-11-08,мужской,media,35‑44 года,13,12,1.46,23.00,0.00,0.00,0.00,12.00,,,,,,,,,,,
404,2023-11-08,женский,search,35‑44 года,13,12,1.31,39.00,0.00,0.00,0.00,9.00,,,,,,,,,,,
405,2023-11-09,,din,,13,13,1.31,33.00,0.00,0.00,0.00,9.00,,,,,,,,,,,
406,2023-11-09,мужской,din,45-54 года,13,12,1.15,20.00,0.00,1.00,0.00,5.00,,,,,,,,,,,
407,2023-11-10,женский,social,55 лет и старше,13,11,1.85,72.00,0.00,0.00,0.00,8.00,,,,,,,,,,,
408,2023-11-11,женский,media,55 лет и старше,13,11,1.62,39.00,0.00,0.00,0.00,11.00,,,,,,,,,,,
409,2023-11-12,мужской,media,25‑34 года,13,13,2.00,50.00,0.00,0.00,0.00,12.00,,,,,,,,,,,
410,2023-11-14,мужской,search,25‑34 года,13,12,2.39,65.00,0.00,0.00,0.00,6.00,,,,,,,,,,,
411,2023-11-15,мужской,search,35‑44 года,13,10,1.39,23.00,0.00,1.00,0.00,5.00,,,,,,,,,,,
412,2023-11-16,мужской,search,45-54 года,13,11,1.39,53.00,19080.00,1.00,1.00,8.00,,,,,,,,,,,
413,2023-11-16,женский,search,25‑34 года,13,12,1.31,18.00,0.00,2.00,0.00,12.00,,,,,,,,,,,
414,2023-11-18,мужской,search,55 лет и старше,13,11,1.23,31.00,0.00,0.00,0.00,10.00,,,,,,,,,,,
415,2023-11-20,мужской,search,18‑24 года,13,8,2.00,44.00,0.00,0.00,0.00,7.00,,,,,,,,,,,
416,2023-11-21,женский,social,45-54 года,13,12,2.23,135.00,0.00,0.00,0.00,10.00,,,,,,,,,,,
417,2023-11-21,женский,search,45-54 года,13,12,1.23,23.00,0.00,1.00,0.00,11.00,,,,,,,,,,,
418,2023-11-24,мужской,search,18‑24 года,13,11,1.15,11.00,0.00,0.00,0.00,6.00,,,,,,,,,,,
419,2023-11-25,мужской,search,45-54 года,13,11,1.39,16.00,0.00,0.00,0.00,6.00,,,,,,,,,,,
420,2023-11-27,мужской,search,35‑44 года,13,13,3.23,135.00,0.00,0.00,0.00,7.00,,,,,,,,,,,
421,2023-11-05,мужской,search,35‑44 года,12,11,2.42,93.00,0.00,2.00,0.00,7.00,,,,,,,,,,,
422,2023-11-07,мужской,din,55 лет и старше,12,10,1.17,16.00,0.00,0.00,0.00,3.00,,,,,,,,,,,
423,2023-11-07,мужской,search,45-54 года,12,12,1.58,82.00,0.00,0.00,0.00,7.00,,,,,,,,,,,
424,2023-11-08,женский,din,25‑34 года,12,12,1.42,24.00,0.00,0.00,0.00,6.00,,,,,,,,,,,
425,2023-11-08,женский,media,,12,10,1.00,21.00,0.00,0.00,0.00,9.00,,,,,,,,,,,
426,2023-11-09,мужской,search,55 лет и старше,12,11,3.00,240.00,0.00,0.00,0.00,7.00,,,,,,,,,,,
427,2023-11-11,женский,social,55 лет и старше,12,10,1.58,53.00,0.00,1.00,0.00,9.00,,,,,,,,,,,
428,2023-11-12,мужской,search,35‑44 года,12,12,2.58,114.00,40270.00,1.00,2.00,8.00,,,,,,,,,,,
429,2023-11-14,женский,social,45-54 года,12,11,2.92,405.00,0.00,1.00,0.00,9.00,,,,,,,,,,,
430,2023-11-16,мужской,search,55 лет и старше,12,11,2.50,162.00,46360.00,2.00,1.00,8.00,,,,,,,,,,,
431,2023-11-16,женский,search,45-54 года,12,11,2.42,61.00,0.00,1.00,0.00,10.00,,,,,,,,,,,
432,2023-11-17,мужской,search,18‑24 года,12,12,1.42,41.00,0.00,0.00,0.00,8.00,,,,,,,,,,,
433,2023-11-17,женский,social,18‑24 года,12,11,5.75,264.00,18490.00,0.00,1.00,4.00,,,,,,,,,,,
434,2023-11-19,женский,search,45-54 года,12,12,1.75,91.00,0.00,1.00,0.00,9.00,,,,,,,,,,,
435,2023-11-22,женский,social,45-54 года,12,11,4.75,105.00,0.00,1.00,0.00,5.00,,,,,,,,,,,
436,2023-11-23,мужской,search,55 лет и старше,12,10,1.42,37.00,0.00,0.00,0.00,7.00,,,,,,,,,,,
437,2023-11-24,женский,search,45-54 года,12,10,1.17,22.00,0.00,1.00,0.00,9.00,,,,,,,,,,,
438,2023-11-26,женский,social,55 лет и старше,12,10,3.83,286.00,38370.00,2.00,1.00,7.00,,,,,,,,,,,
439,2023-11-01,,search,,11,11,2.09,105.00,0.00,1.00,0.00,8.00,,,,,,,,,,,
440,2023-11-02,мужской,search,25‑34 года,11,11,1.64,95.00,0.00,1.00,0.00,5.00,,,,,,,,,,,
441,2023-11-08,женский,search,25‑34 года,11,11,2.73,97.00,0.00,0.00,0.00,9.00,,,,,,,,,,,
442,2023-11-11,мужской,media,25‑34 года,11,8,1.27,49.00,0.00,0.00,0.00,7.00,,,,,,,,,,,
443,2023-11-11,мужской,media,35‑44 года,11,11,5.55,284.00,0.00,1.00,0.00,11.00,,,,,,,,,,,
444,2023-11-13,женский,media,25‑34 года,11,10,2.09,35.00,0.00,0.00,0.00,7.00,,,,,,,,,,,
445,2023-11-14,женский,social,55 лет и старше,11,11,2.27,126.00,0.00,0.00,0.00,7.00,,,,,,,,,,,
446,2023-11-17,мужской,search,55 лет и старше,11,11,2.18,405.00,0.00,0.00,0.00,7.00,,,,,,,,,,,
447,2023-11-20,мужской,search,55 лет и старше,11,8,1.55,84.00,0.00,0.00,0.00,5.00,,,,,,,,,,,
448,2023-11-21,мужской,search,18‑24 года,11,11,2.91,198.00,0.00,0.00,0.00,4.00,,,,,,,,,,,
449,2023-11-22,мужской,social,55 лет и старше,11,10,9.18,561.00,0.00,1.00,0.00,3.00,,,,,,,,,,,
450,2023-11-24,женский,search,55 лет и старше,11,9,1.09,67.00,0.00,0.00,0.00,8.00,,,,,,,,,,,
451,2023-11-25,мужской,search,25‑34 года,11,10,2.18,50.00,0.00,0.00,0.00,8.00,,,,,,,,,,,
452,2023-11-28,женский,social,55 лет и старше,11,9,1.64,150.00,0.00,0.00,0.00,6.00,,,,,,,,,,,
453,2023-11-28,женский,search,35‑44 года,11,11,3.18,147.00,0.00,2.00,0.00,10.00,,,,,,,,,,,
454,2023-11-28,женский,search,55 лет и старше,11,9,1.82,175.00,0.00,0.00,0.00,7.00,,,,,,,,,,,
455,2023-11-02,,search,,10,10,2.10,32.00,0.00,0.00,0.00,10.00,,,,,,,,,,,
456,2023-11-04,мужской,search,25‑34 года,10,10,5.10,426.00,0.00,0.00,0.00,4.00,,,,,,,,,,,
457,2023-11-05,,din,,10,9,1.50,34.00,0.00,0.00,0.00,7.00,,,,,,,,,,,
458,2023-11-08,мужской,din,45-54 года,10,10,1.20,123.00,0.00,0.00,0.00,2.00,,,,,,,,,,,
