Id,Дата визита,Пол,UTM Term,Возраст,Визиты,Посетители,Глубина просмотра,Среднее время на сайте_сек,Средний доход покупки_RUB,Добавили в корзину,Количество покупок,Новые посетители, , , , , , , , , , , 
55,2023-11-23,,social,,111,109,3.66,172.00,22370.00,7.00,1.00,98.00,,,,,,,,,,,
56,2023-11-08,мужской,social,45-54 года,110,97,2.35,124.00,18280.00,6.00,1.00,63.00,,,,,,,,,,,
57,2023-11-12,мужской,social,25‑34 года,110,94,3.47,137.00,18880.00,4.00,1.00,42.00,,,,,,,,,,,
58,2023-11-16,мужской,social,25‑34 года,108,97,3.47,154.00,0.00,3.00,0.00,47.00,,,,,,,,,,,
59,2023-11-25,мужской,social,25‑34 года,108,85,3.99,159.00,31670.00,3.00,1.00,46.00,,,,,,,,,,,
60,2023-11-20,мужской,social,25‑34 года,107,102,4.08,150.00,0.00,2.00,0.00,42.00,,,,,,,,,,,
61,2023-11-22,,social,,102,95,4.83,230.00,69795.00,7.00,4.00,80.00,,,,,,,,,,,
62,2023-11-19,мужской,social,25‑34 года,100,93,4.10,189.00,76676.67,7.00,3.00,45.00,,,,,,,,,,,
63,2023-11-27,мужской,social,35‑44 года,100,85,4.04,271.00,23005.00,4.00,2.00,41.00,,,,,,,,,,,
64,2023-11-29,мужской,social,35‑44 года,100,91,3.02,169.00,47275.00,6.00,4.00,52.00,,,,,,,,,,,
65,2023-11-21,мужской,social,25‑34 года,99,91,4.58,218.00,18320.00,6.00,2.00,42.00,,,,,,,,,,,
66,2023-11-29,мужской,social,25‑34 года,99,90,2.94,137.00,74880.00,2.00,2.00,43.00,,,,,,,,,,,
67,2023-11-03,мужской,social,18‑24 года,96,82,4.14,243.00,0.00,5.00,0.00,42.00,,,,,,,,,,,
68,2023-11-06,мужской,social,35‑44 года,93,84,3.43,149.00,0.00,3.00,0.00,44.00,,,,,,,,,,,
69,2023-11-04,мужской,social,35‑44 года,92,78,2.92,152.00,27280.00,6.00,1.00,40.00,,,,,,,,,,,
70,2023-11-17,мужской,social,25‑34 года,92,88,3.70,133.00,14485.00,5.00,2.00,49.00,,,,,,,,,,,
71,2023-11-18,мужской,social,25‑34 года,92,80,5.41,284.00,104193.33,11.00,3.00,40.00,,,,,,,,,,,
